((C, E), W);
10 15 7 
C	E	W
0	2	0
5	10	7
4	5	6
5	3	4
5	0	0
7	8	7
0	1	0
3	15	0
2	2	0
10	11	7
3	6	3
5	6	3
7	4	4
6	7	7
0	5	7
10	6	2
9	10	4
0	0	1
1	0	0
0	2	2
8	15	5
2	0	0
4	6	7
10	14	7
5	5	6
4	1	1
4	6	5
6	13	7
1	2	0
8	10	7
2	1	1
0	4	0
2	7	0
3	14	7
3	4	6
2	12	7
5	7	7
1	6	0
9	8	2
1	1	0
0	7	0
2	5	0
4	6	0
1	0	0
5	11	2
2	5	1
10	11	7
9	15	1
1	5	0
4	7	1
1	1	0
5	12	7
9	14	7
1	5	0
4	7	7
9	15	6
9	10	7
0	2	0
10	14	7
1	2	0
2	0	0
0	1	0
10	13	7
6	10	2
9	15	7
1	0	0
10	13	7
6	12	7
7	14	6
6	11	5
9	10	7
0	2	0
8	11	7
1	0	0
9	14	6
1	6	2
0	8	5
2	2	0
1	0	0
10	13	7
9	14	7
0	0	3
9	14	0
2	4	2
3	5	1
6	15	5
6	13	0
8	8	5
10	15	6
3	2	0
10	13	7
1	0	0
2	0	0
2	4	0
6	3	1
9	12	6
5	6	3
1	2	1
8	12	7
9	12	7
6	10	1
7	14	7
1	4	0
9	15	7
7	8	3
5	12	7
3	3	7
9	15	5
1	11	6
9	15	7
8	14	3
9	15	7
6	7	0
9	15	4
0	3	0
2	0	0
9	15	7
0	0	5
5	5	0
9	15	7
1	0	0
9	13	7
2	7	1
8	10	7
7	5	2
6	11	5
3	0	0
2	1	0
1	6	0
4	4	4
8	15	7
9	15	7
0	3	0
10	13	7
5	12	7
1	2	2
9	13	7
2	2	0
8	10	7
9	10	7
6	5	0
5	15	5
0	5	7
5	6	6
10	15	5
0	3	0
2	5	0
1	9	2
6	8	1
10	15	5
1	1	2
10	10	7
6	7	7
10	13	7
1	10	0
8	15	3
8	15	7
7	15	0
2	4	0
5	5	6
5	9	5
9	3	7
7	13	7
7	13	7
0	2	0
9	9	7
7	7	7
9	15	7
3	5	0
10	12	7
8	13	6
4	4	6
0	5	0
2	7	0
1	0	0
7	8	0
6	15	7
6	8	2
10	14	4
8	14	7
0	1	0
10	5	7
5	15	7
10	11	7
1	0	1
0	3	0
10	15	6
10	15	2
9	12	7
7	15	7
5	11	4
2	1	0
1	0	0
6	15	5
2	1	4
0	0	4
9	15	7
10	14	7
3	0	0
10	15	3
9	15	7
1	2	0
7	0	7
5	14	7
1	0	0
10	12	7
7	5	7
9	12	2
0	3	0
9	8	2
1	2	1
8	11	7
10	14	7
9	15	3
8	6	7
3	6	0
7	9	7
9	12	7
9	12	3
1	3	4
0	2	0
0	3	0
2	4	0
5	9	0
8	14	7
9	12	5
6	6	6
0	1	0
5	0	2
2	8	7
7	8	0
7	4	3
0	2	0
7	8	7
9	13	7
8	14	7
3	5	0
7	12	4
10	15	6
10	13	0
7	15	7
1	10	0
9	6	7
0	7	4
8	15	2
5	1	0
1	4	0
1	0	2
1	1	1
9	12	5
9	15	7
8	15	7
4	13	7
4	6	4
4	2	3
7	11	3
2	6	3
4	5	1
3	2	6
10	14	7
3	7	6
2	3	0
0	0	3
7	14	7
7	9	6
6	6	1
4	11	7
10	14	7
0	6	0
5	15	2
10	13	7
10	14	7
9	14	7
9	12	7
4	0	0
9	15	7
4	10	7
2	7	0
8	5	1
7	10	1
2	10	3
6	6	1
8	10	6
0	2	0
1	5	6
1	1	0
3	9	5
1	7	0
5	7	7
9	15	7
8	13	7
8	13	3
8	13	7
10	14	7
10	14	7
2	3	3
0	2	0
3	10	4
10	15	4
6	6	2
